FBgn001033 	P32234
FBgn002023 	P92177
FBgn000490 	P29310
FBgn001034 	P81928
FBgn002762 	P04283
FBgn004433 	P04282
FBgn001445 	P04323
FBgn002762 	P20829
FBgn004433 	P20828
FBgn002762 	P20825
FBgn004384 	P10394
FBgn000416 	P28285
FBgn026311 	P28286
FBgn000457 	P20905
FBgn001129 	P54185
FBgn002313 	O46341
FBgn001129 	Q27377
FBgn002788 	Q9V431
FBgn003185 	Q9VM95
FBgn002709 	Q9VLM8
FBgn002896 	Q9VRJ1
FBgn002709 	Q9VXN4
FBgn002709 	Q7KN90
FBgn002709 	Q9Y105
FBgn000567 	P28668
FBgn002708 	Q9VFL5
FBgn027543 	O16129
FBgn003506 	Q9W107
FBgn002312 	Q9VSY6
FBgn026444 	Q24174
FBgn000001 	P29555
FBgn000001 	P09087
FBgn000001 	P00522
FBgn003637 	Q9VU84
FBgn001533 	Q9V3C0
FBgn000002 	P10083
FBgn000485 	Q9VW60
FBgn001127 	P49258
FBgn001203 	Q9VP61
FBgn000002 	P07140
FBgn001612 	Q9VLJ6
FBgn000002 	P24350
FBgn001445 	Q26416
FBgn000285 	P10333
FBgn000285 	P10334
FBgn001558 	O46197
FBgn002341 	O46203
FBgn026732 	O46227
FBgn001155 	Q9V3R1
FBgn001558 	O46199
FBgn002050 	O46202
FBgn001558 	O46200
FBgn001558 	Q9VVW1
FBgn000286 	P16548
FBgn026359 	O46201
FBgn000004 	P10987
FBgn000004 	P02572
FBgn000004 	P53501
FBgn000004 	P02574
FBgn000004 	P10981
FBgn000004 	P83967
FBgn002491 	O61643
FBgn000066 	P18091
FBgn002511 	P56544
FBgn003836 	Q9VF36
FBgn003766 	Q9VHH7
FBgn003755 	Q8I8V0
FBgn002761 	Q7K550
FBgn002608 	Q9NII1
FBgn002865 	Q9V3R6
FBgn000005 	P35421
FBgn000005 	P00967
FBgn002051 	Q9I7S8
FBgn000005 	P05552
FBgn000005 	P00334
FBgn000005 	P91615
FBgn005206 	Q6AWN0
FBgn003898 	Q9VCY8
FBgn028349 	Q9U915
FBgn002749 	Q9Y0Y2
FBgn000569 	P39413
FBgn002630 	Q9UAS6
FBgn004117 	Q9VZF4
FBgn008703 	Q9VUQ5
FBgn025081 	Q7PLK0
FBgn001445 	Q27580
FBgn001501 	P50245
FBgn003139 	Q9VQ79
FBgn003375 	Q7JYV7
FBgn000455 	P61855
FBgn008259 	Q9VS59
FBgn001037 	Q8INB9
FBgn000006 	Q06453
FBgn000006 	P07764
FBgn005207 	Q8T8L8
FBgn001374 	Q94899
FBgn001021 	P35220
FBgn025917 	P53624
FBgn001174 	Q24451
FBgn003000 	Q9W3J5
